Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
20-Jul-21,2021,British Aerospace BAe-125-700A,BAE,N611MC,private,0,"Jesús María Semprún, Zulia",w/o,Miscellaneous,0,0
21-Jul-21,2021,Cessna 560XL Citation Excel,Cessna,N46CF,PV Transport Inc,0,"Reading Regional Airport/Spaatz Field, PA (RDG)",sub,Pilot Error,0,0
21-Jul-21,2021,de Havilland Canada DHC-8-106,de Havilland Canada,5Y-GRS,Skyward Express,0,Burahache Airstrip,sub,Mechanical Failure,0,0
22-Jul-21,2021,Airbus A321-211,Airbus,N376DN,Delta Air Lines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",non,Miscellaneous,0,0
25-Jul-21,2021,Boeing 737-8JP (WL),Boeing,SE-RPE,Norwegian Air Sweden,0,near Nice Airport,non,Miscellaneous,0,0
27-Jul-21,2021,Cessna 208B Grand Caravan,Cessna,ET-AMI,"Abyssinian Flight Services, opf UNWorld Food Programme",0,near Kombolcha,w/o,Undetermined,0,0
31-Jul-21,2021,Boeing 737-8AS (WL),Boeing,EI-EPC,Ryanair,0,near Barcelona-El Prat Josep Tarradellas Airport (BCN/LEBL),non,Pilot Error,0,0
3-Aug-21,2021,Airbus A300B4-622R (F),Airbus,D-AEAE,European Air Transport,0,Lagos-Murtala Muhammed International Airport (LOS),sub,Mechanical Failure,0,0
9-Aug-21,2021,Gulfstream American G-1159A Gulfstream III,Gulfstream,XB-OZA,private,0,within Jesús María Semprún,w/o,Miscellaneous,0,0
11-Aug-21,2021,McDonnell Douglas MD-11F,Boeing,N296UP,United Parcel Service - UPS,0,"Phoenix-Sky Harbor International Airport, AZ (PHX)",sub,Pilot Error,0,0
12-Aug-21,2021,Shijiazhuang Y-5B(D),Shijiazhuang,B-8440,Northeast General Aviation Co.,0,"Nengbei Farm, Heilongjiang Province",w/o,Pilot Error,0,0
14-Aug-21,2021,Britten-Norman BN-2A-III-2 Trislander,Britten-Norman,8R-GRE,Roraima Airways,0,7 nm S of Georgetown International Airport (OGL),min,Maintenance ,0,0
14-Aug-21,2021,Bombardier DHC-8-402Q Dash 8,Bombardier,9S-AAN,Congo Airways,0,Lubumbashi International Airport (FBM/FZQA),min,ATC/Pilot Miscommunication,0,0
16-Aug-21,2021,Cessna 208B Grand Caravan,Cessna,N97HA,Wright Air Service,0,"near Fairbanks, AK",sub,Pilot Error,0,0
21-Aug-21,2021,Airbus A319-132,Airbus,N806AW,American Airlines,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",non,Turbulence,0,0
21-Aug-21,2021,de Havilland Canada DHC-3T Turbine Otter,de Havilland Canada,N560TR,Brooks Range Aviation,0,"near Bethel, AK",sub,Mechanical Failure,0,0
21-Aug-21,2021,Gulfstream G-IV,Gulfstream,N277GM,SN 1124 LLC,0,"Fort Lauderdale-Executive Airport, FL (FXE)",sub,Pilot Error,0,0
23-Aug-21,2021,Boeing 737-990ER,Boeing,N479AS,Alaska Airlines,0,"Seattle/Tacoma International Airport, WA (SEA/KSEA)",non,Miscellaneous,0,0
24-Aug-21,2021,Cirrus SF50 Vision Jet,Cirrus,N1GG,N1GG LLC,0,"Lansing-Capital Region International Airport, MI (LAN)",w/o,Mechanical Failure,0,0
25-Aug-21,2021,Beechcraft 1900D,Beechcraft,C-GDSG,SkyJet,0,"Chevery Airport, QC (YHR/CYHR)",sub,Mechanical Failure,0,0
26-Aug-21,2021,Embraer EMB-505 Phenom 300,Embraer,N413N,Nicholas Services LLC,0,"Elk River, NC (NC06)",sub,Pilot Error,0,0
27-Aug-21,2021,Bombardier CRJ-900LR,Bombardier,C-FOJZ,Air Canada,0,"Vancouver International Airport, BC (YVR/CYVR)",min,Undetermined,0,0
1-Sep-21,2021,Boeing 767-332ER (WL),Boeing,N196DN,Delta Air Lines,0,"Seattle/Tacoma International Airport, WA (SEA/KSEA)",non,Maintenance ,0,0
3-Sep-21,2021,Raytheon 390 Premier I,Raytheon,N351CW,PB Air LLC,0,"Naples Airport, FL (APF)",sub,Undetermined,0,0
4-Sep-21,2021,ATR 72-600 (72-212A),ATR,VT-IYM,IndiGo Airlines,0,en route Tiruchirappalli-Bengaluru,non,Miscellaneous,0,0
4-Sep-21,2021,Cessna 560XL Citation Excel,Cessna,N827JS,Fly Exclusive,0,"near Salt Lake City International Airport, UT (SLC)",sub,Bird Strike,0,0
12-Sep-21,2021,British Aerospace BAe-125,BAE,,private,0,Río Catatumbo,w/o,Miscellaneous,0,0
14-Sep-21,2021,Raytheon Beechjet 400A,Raytheon,N100FN,Meander Air II LLC,0,"between Youngstown, OH and Charleston, SC",sub,Mechanical Failure,0,0
15-Sep-21,2021,Airbus A320-214,Airbus,OE-LBY,Austrian Airlines,0,Berlin Brandenburg-Willy Brandt Airport (BER),sub,Undetermined,0,0
17-Sep-21,2021,Canadair CRJ-200LR,Canadair,N444ZW,"United Express, opb Air Wisconsin",0,"Asheville Regional Airport, NC (AVL)",sub,Miscellaneous,0,0
20-Sep-21,2021,Learjet 35A,Learjet,ZS-SFV,Impuma Group,0,Lanseria International Airport (HLA),sub,Pilot Error,0,0
23-Sep-21,2021,Airbus A321-271N,Airbus,N208HA,Hawaiian Airlines,0,"Honolulu-Daniel K. Inouye International Airport, HI (HNL)",sub,Pilot Error,0,0
25-Sep-21,2021,Cessna 208B Supervan 900,Cessna,OO-FFB,Paracentrum Vlaanderen,0,Moorsele Airfield (EBMO),sub,Pilot Error,0,0
27-Sep-21,2021,Saab 340B,Saab,UR-ALG,"STP Airways, lsf AeroJet",0,São Tomé Island Airport (TMS/FPST),sub,Miscellaneous,0,0
